Date,Open,High,Low,Close,Adj Close,Volume
11/8/2019,75,78.120003,70.800003,78,78,183
11/11/2019,77.339996,81,77.339996,81,81,25
11/12/2019,78.599998,78.599998,78.599998,78.599998,78.599998,2
11/13/2019,71.699997,75,71.699997,75,75,5
11/14/2019,72,72,72,72,72,17
11/15/2019,72,72,72,72,72,0
11/18/2019,67.559998,75.900002,67.559998,74.400002,74.400002,58
11/19/2019,72,77.099998,72,73.800003,73.800003,37
11/20/2019,70.800003,75.300003,70.800003,72,72,47
11/21/2019,72,72,72,72,72,0
11/22/2019,72,72,72,72,72,0
11/25/2019,72,72,72,72,72,0
11/26/2019,72.959999,77.400002,53.639999,57,57,130
11/27/2019,51.540001,52.200001,49.380001,52.200001,52.200001,70
11/29/2019,55.98,59.52,55.98,59.459999,59.459999,407
12/2/2019,59.880001,59.880001,55.32,55.68,55.68,77
12/3/2019,55.68,55.68,55.68,55.68,55.68,0
12/4/2019,57,57,57,57,57,8
12/5/2019,57.84,57.84,56.759998,56.759998,56.759998,58
12/6/2019,59.400002,63,59.400002,63,63,143
12/9/2019,64.199997,64.559998,60,64.559998,64.559998,65
12/10/2019,60.599998,60.900002,60.599998,60.900002,60.900002,5
12/11/2019,60.599998,68.400002,60.599998,68.400002,68.400002,107
12/12/2019,69,69.839996,69,69.839996,69.839996,190
12/13/2019,69,69.120003,69,69.120003,69.120003,15
12/16/2019,73.739998,80.040001,72,78.599998,78.599998,1252
12/17/2019,78.480003,81.599998,66.839996,70.199997,70.199997,675
12/18/2019,70.919998,71.400002,54.540001,57.599998,57.599998,640
12/19/2019,60.599998,61.200001,42.360001,52.919998,52.919998,1343
12/20/2019,50.580002,52.919998,44.52,50.279999,50.279999,1385
12/23/2019,50.040001,53.16,49.439999,50.639999,50.639999,1522
12/24/2019,52.080002,52.080002,46.380001,48.060001,48.060001,762
12/26/2019,47.220001,54.240002,46.200001,54.240002,54.240002,80
12/27/2019,51.599998,55.259998,50.700001,52.740002,52.740002,992
12/30/2019,53.400002,54.900002,52.799999,53.580002,53.580002,1552
12/31/2019,55.439999,55.439999,46.799999,50.939999,50.939999,2017
1/2/2020,53.099998,53.82,49.200001,50.040001,50.040001,347
1/3/2020,50.759998,52.080002,44.580002,46.439999,46.439999,1415
1/6/2020,50.16,50.279999,47.880001,49.740002,49.740002,222
1/7/2020,53.459999,108,53.459999,69,69,1107
1/8/2020,84,189,84,120,120,1520
1/9/2020,141,174,137.399994,150,150,1535
1/10/2020,164.100006,180,150,152.399994,152.399994,678
1/13/2020,164.399994,192,154.559998,190.800003,190.800003,1965
1/14/2020,194.399994,240,169.800003,225,225,1642
1/15/2020,174,221.399994,168,168.600006,168.600006,617
1/16/2020,154.800003,183,153.600006,169.800003,169.800003,522
1/17/2020,155.399994,168,73.199997,110.400002,110.400002,2460
1/21/2020,90,165,81,96.599998,96.599998,1193
1/22/2020,93.599998,118.199997,81.599998,105,105,508
1/23/2020,87,135,79.800003,120,120,692
1/24/2020,117,134.399994,111,120,120,158
1/27/2020,96,120,75.599998,109.199997,109.199997,523
1/28/2020,105,105,88.800003,96.599998,96.599998,298
1/29/2020,84.599998,117,78,99.599998,99.599998,533
1/30/2020,87,106.800003,87,101.400002,101.400002,47
1/31/2020,118.800003,118.800003,102,102,102,203
2/3/2020,96,117.599998,90,114,114,702
2/4/2020,121.5,164.399994,111,159,159,987
2/5/2020,130.800003,159,130.800003,142.800003,142.800003,53
2/6/2020,138.899994,142.800003,135,142.800003,142.800003,283
2/7/2020,135.600006,135.600006,99,121.800003,121.800003,495
2/10/2020,105.599998,123,99,116.400002,116.400002,270
2/11/2020,90,118.800003,90,108,108,330
2/12/2020,119.400002,119.400002,107.699997,119.400002,119.400002,118
2/13/2020,119.400002,120.660004,93,118.800003,118.800003,368
2/14/2020,99.300003,117.720001,99.300003,117.599998,117.599998,140
2/18/2020,117,117,102,117,117,42
2/19/2020,117.599998,117.599998,102,110.400002,110.400002,160
2/20/2020,102.900002,117,102,114.599998,114.599998,372
2/21/2020,115.800003,117,113.400002,113.400002,113.400002,95
2/24/2020,102.599998,115.199997,102,102.660004,102.660004,43
